,Data,UF-Cidade,Temp. Min.,Temp. Max.,Nasc. Sol,Por Sol,% Chuva,IUV,UF,Cidade
109,2019-12-19,RS/Viamão,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,RS,Viamão
110,2019-12-19,RS/Novo-Hamburgo,15,33,0 days 05:19:00.000000000,0 days 19:23:00.000000000,5,12,RS,Novo Hamburgo
111,2019-12-19,SP/São-Carlos,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,São Carlos
112,2019-12-19,RN/Parnamirim,24,31,0 days 05:04:00.000000000,0 days 17:32:00.000000000,30,12,RN,Parnamirim
113,2019-12-19,RJ/Magé,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,RJ,Magé
114,2019-12-19,SP/Marília,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Marília
115,2019-12-19,MG/Sete-Lagoas,19,32,0 days 05:14:00.000000000,0 days 18:33:00.000000000,80,13,MG,Sete Lagoas
116,2019-12-19,PR/Colombo,15,21,0 days 05:22:00.000000000,0 days 19:05:00.000000000,80,13,PR,Colombo
117,2019-12-19,RJ/Macaé,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,RJ,Macaé
118,2019-12-19,AL/Arapiraca,22,35,0 days 05:02:00.000000000,0 days 17:44:00.000000000,5,12,AL,Arapiraca
119,2019-12-19,MG/Divinópolis,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,MG,Divinópolis
120,2019-12-19,SC/São-José,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SC,São José
121,2019-12-19,RJ/Itaboraí,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,RJ,Itaboraí
122,2019-12-19,RS/São-Leopoldo,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,RS,São Leopoldo
123,2019-12-19,SP/Americana,20,28,0 days 05:20:00.000000000,0 days 18:52:00.000000000,87,13,SP,Americana
124,2019-12-19,SP/Indaiatuba,20,26,0 days 05:19:00.000000000,0 days 18:52:00.000000000,87,13,SP,Indaiatuba
125,2019-12-19,SP/Cotia,18,23,0 days 05:16:00.000000000,0 days 18:52:00.000000000,73,13,SP,Cotia
126,2019-12-19,SP/Jacareí,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Jacareí
127,2019-12-19,SP/Araraquara,20,26,0 days 05:25:00.000000000,0 days 18:53:00.000000000,80,13,SP,Araraquara
128,2019-12-19,SP/Presidente-Prudente,19,29,0 days 05:37:00.000000000,0 days 19:07:00.000000000,80,13,SP,Presidente Prudente
129,2019-12-19,SP/Itapevi,18,24,0 days 05:17:00.000000000,0 days 18:52:00.000000000,73,13,SP,Itapevi
130,2019-12-19,CE/Maracanaú,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,CE,Maracanaú
131,2019-12-19,BA/Itabuna,24,30,0 days 05:03:00.000000000,0 days 18:04:00.000000000,5,12,BA,Itabuna
132,2019-12-19,BA/Juazeiro,23,36,0 days 05:18:00.000000000,0 days 17:59:00.000000000,5,12,BA,Juazeiro
